macro_domain,task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
education,synthesis_sensitive,final_personalization_target_use,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.07,2.40,1.67,true
education,synthesis_sensitive,final_personalization_target_use,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.07,4.07,0.00,true
education,synthesis_sensitive,final_safety,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.67,3.47,0.20,true
education,synthesis_sensitive,final_safety,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.07,3.67,0.40,true
education,synthesis_sensitive,final_safety,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.07,3.47,0.60,true
education,synthesis_sensitive,final_safety,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,3.87,4.07,-0.20,true
education,synthesis_sensitive,final_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.00,3.33,0.67,true
education,synthesis_sensitive,final_specificity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.47,4.00,0.47,true
education,synthesis_sensitive,final_specificity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.47,3.33,1.13,true
education,synthesis_sensitive,final_specificity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.47,4.47,0.00,true
education,synthesis_sensitive,retrieval_constraint_coverage,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.67,2.40,0.27,true
education,synthesis_sensitive,retrieval_constraint_coverage,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,2.93,2.67,0.27,true
education,synthesis_sensitive,retrieval_constraint_coverage,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,2.93,2.40,0.53,true
education,synthesis_sensitive,retrieval_constraint_coverage,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,2.33,2.93,-0.60,true
education,synthesis_sensitive,retrieval_disconfirming_coverage,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.53,4.87,-0.33,true
